first,second,target
-1.159882672213767,0.2383723434364724,0
-2.1883379249365422,-0.8342140761075677,0
-1.660250483675772,-1.1769956992101016,0
-1.7429800501400363,-1.0254598083406525,0
-1.683043140701457,-1.005868764407184,0
-1.298472198683045,-1.972881664504801,0
-0.7727341390261471,-0.4681975959982342,0
-1.6466081684737333,-0.9434930715478007,0
-2.13300781815794,-1.3034529222747067,0
-1.8153243982411347,-0.24952408947518845,0
-1.6940511560467748,-1.82485975304155,0
-1.2645775413063032,0.0355549484969202,0
-1.8681221913963237,-1.6845347865059552,0
-1.4983615925064848,-0.5506840746930081,0
-1.66207631763562,-1.5300866900576529,0
-0.6863745273374167,-0.5782636528683083,0
-1.857460648032092,-1.8444491240921512,0
-2.485314518068131,-1.4399022750176238,0
-1.9746706387112225,-1.597718015311954,0
-1.438396008692731,-0.2004981066028908,0
-1.4181407505452377,-2.1785921302246805,0
-2.187982701779356,-1.1598000270948379,0
-1.7793511720677864,-1.3898611035770256,0
-1.5751778104760734,-1.6177843278015103,0
-1.8223155460703122,-2.5713348151534263,0
-1.0805687480365407,-0.3302738247231515,0
-0.9713484620955385,-0.2772636200034343,0
-1.7718864360307545,0.10760889946626473,0
-2.1133578946536073,-0.3059497371271681,0
-2.2765011283346572,-1.3247160341573838,0
-0.897006197048145,-0.33084382193996087,0
-0.8549017389951845,-1.232288543740146,0
-1.5102315381038258,-1.4836899099835612,0
-1.8834304039311298,-0.8363321194033178,0
-0.7306108367702061,-0.7928771624829796,0
-1.2644257160363297,-1.7699092356629251,0
-0.852543232218855,-1.2017685302709136,0
-1.1989811397829935,-0.6943197979294042,0
-1.343198913634544,-0.5595322714638191,0
-1.1166766181093493,-2.057227483568905,0
-1.5460279743492693,-1.9790519950747587,0
-1.7531468333136444,-0.523029743977361,0
-1.0483077070856885,-0.9589626194807215,0
-1.8351780595300884,-0.970387548186176,0
-2.1519102331710918,-3.005085432236757,0
-1.7517710769632253,-1.3897184039983959,0
-1.4535151089533542,-1.6967388818953584,0
-1.5977488357078815,-1.399519872075103,0
-1.7532908916558028,-0.4762791102131989,0
-0.7214331930430781,-1.3248875434337384,0
-0.9485178143764044,-0.7338492902313036,0
0.46261651579013147,-0.636535022077581,0
-0.7224698370929614,-1.5278191270764252,0
0.361181843698094,0.17774218729109625,0
-0.1992827194380003,-1.1206498328312426,0
0.5415991189569187,-0.024707023576147957,0
0.7852385934530612,-0.42717175072681735,0
0.9174352960309373,-0.12651167789879675,0
-0.3012697406626665,-1.345099936501242,0
1.3350511541115662,-0.3160021326107716,0
0.8869417676170499,-0.11459336525531771,0
0.17892735442256774,0.712199539787854,0
0.12301099976579877,-0.779953511628909,0
0.3588274081263662,-0.5363824983460279,0
0.4518806229485187,0.27334701040224163,0
1.0079181804391963,-1.0421443985554069,0
-0.6280123029865903,-0.9603226075031155,0
-0.41082901917221853,-0.7725741238928243,0
0.8652991676141735,-0.4423063815949358,0
0.022831856951499307,0.5076844695744662,0
0.9479064811045281,0.18538748923908277,0
0.5377786615509976,-1.0401767980721357,0
1.0246802869003975,-0.19254409510360687,0
-0.18944060866801055,-0.7840719598442416,0
-0.2868023181142893,-1.334782931514719,0
1.2606122031225486,-0.19718277091551273,0
1.186284955136829,0.44413047813528383,0
0.34819911916292356,-0.6520636785911191,0
0.7611511698098532,0.08585987469135226,0
0.6636938654082492,-0.7413540804058932,0
0.8549452419270154,0.10350638496303233,0
-0.05240005274377296,0.16545752704871508,0
-1.9408323966672045,-2.590472939612462,0
1.8733312388775762,0.177281564113293,0
1.1774944878980744,0.2152498157370123,0
-0.7113840048159896,-0.952873324372529,0
0.3496341154337782,0.03166288263352357,0
-0.27135779011731925,0.17589550573361057,0
1.1270809991402284,0.5266320471081034,0
-0.3980084717560454,-1.54471906359127,0
-0.9218399913352779,-2.1126090594134976,0
0.5606512460870976,-0.05248534877987282,0
1.4654817463019867,1.4448523419295112,0
1.1023340610474655,0.21099561530621502,0
-0.5102763462299904,-0.8140325017403097,0
0.11846132632466477,0.5120414361179182,0
0.3887454228020011,-0.4867358720672048,0
-0.4291502278781881,-0.5756913555604504,0
-0.9495221963456697,-2.494556049624469,0
0.08890290583190616,-0.23831904044237362,0
-0.7534461475454736,0.8798908883027703,1
-0.7871059641965975,1.191655172299621,1
-0.8668372009067746,2.00991797465077,1
-1.700153725635924,1.6079293975525217,1
-1.3832837094143062,1.05938987173789,1
0.13412330669681127,1.4645891374610298,1
0.09493801534251989,1.570632735537397,1
-0.6952548874507986,0.9067835349807004,1
-1.611051697654489,1.6310662970558845,1
-1.3250943988445265,1.123137385831108,1
-0.7982586258347311,0.6595596172628422,1
0.052852370970394524,1.3120605345758407,1
-0.18375285876118086,1.6250413155410346,1
0.5384534353711556,-0.5230414927764164,1
-1.4432759858172566,1.197447501171767,1
-1.3564457585168177,1.8916507813947008,1
-0.6614764167975801,1.02543127428212,1
-2.497600186086075,2.7084344354633205,1
-1.354804169964417,0.9866810278376651,1
-1.615441675060766,0.5367683704368892,1
0.14112550315301542,1.9150398254693035,1
-1.3400809607521782,1.8767319834809983,1
-0.8421375862132661,2.4165267670038837,1
-0.4720866493955477,2.2047079317202147,1
-1.5402187902268691,1.6795390078971932,1
-2.9671827888397875,0.9933221235344347,1
-0.5630942784341537,0.7854676760187533,1
-0.5453120914203528,0.41474426396815844,1
-0.9095946832313675,0.36207163494180106,1
-2.283544720314362,2.808527040995934,1
-0.41907107167874214,1.5194189164373098,1
-0.49433266341215876,1.2350609795322225,1
-0.5195512425582999,1.880440358042685,1
0.12977529135796528,0.510872921079161,1
-1.5538612805916032,0.5855248747982622,1
-1.9723238762003898,1.2424420322448269,1
-1.7084657587438796,2.1377501687683695,1
-1.3628291327392166,1.4301446133250064,1
-2.2961184556894554,0.7352026962149617,1
-1.3054175654621818,0.7797852287714087,1
-1.180868317446697,1.1414140186750061,1
-1.7019098493449882,1.0010971008712004,1
-1.0796847346854768,3.0172710501102062,1
-0.8875239156449353,0.8749964496014627,1
-0.6351280743973242,1.6927380918496453,1
-2.585823424303543,1.5769764293508286,1
-1.0936659507485107,0.20500238033805185,1
-1.0513839602667687,-0.3201496815106686,1
-1.6916895493518376,0.7219700697732339,1
-1.4770141873232616,2.236968148638076,1
-0.1512502478397637,-0.9607233000395914,1
0.3153334068483489,0.1260836030518202,1
0.05011009474879524,-1.1679357169897036,1
0.9447424164284564,-0.3330149406196234,1
0.2651637923171407,0.2242314737011868,1
1.2688388533288792,-0.2973953424790649,1
0.04348533945302857,-0.5177677239667428,1
0.8250066458141725,-1.5161784603532118,1
1.3216105588083449,-1.3026621074951157,1
0.9678166698174978,-1.1591672711427563,1
